condition_group,condition,therapy_group,therapy,clinicaltrials_n,pubmed_n,trials_url,articles_url,year_min,year_max,study_types,countries,evidence_direction,effect_size_estimate,quality_rating,sample_size_min,source,country,last_updated
Mental Health,Addiction,Mind–Body,Yoga,4,154,https://clinicaltrials.gov/search?cond=%28Addiction%29+AND+%28Yoga%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Addiction%22+OR+%22substance+use+disorder%22+OR+%22substance-related+disorders%22+OR+%22addiction%22%29+AND+%28%22Yoga%22+OR+%22yoga%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Anxiety,Traditional,Acupuncture,37,2049,https://clinicaltrials.gov/search?cond=%28Anxiety%29+AND+%28Acupuncture%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Anxiety%22+OR+%22anxiety%22%29+AND+%28%22Acupuncture%22+OR+%22acupuncture%22+OR+%22electroacupuncture%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Anxiety,Behavioural & Lifestyle,Aromatherapy,37,708,https://clinicaltrials.gov/search?cond=%28Anxiety%29+AND+%28Aromatherapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Anxiety%22+OR+%22anxiety%22%29+AND+%28%22Aromatherapy%22+OR+%22aromatherapy%22+OR+%22essential+oils%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Anxiety,Traditional,Ayurveda,1,229,https://clinicaltrials.gov/search?cond=%28Anxiety%29+AND+%28Ayurveda%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Anxiety%22+OR+%22anxiety%22%29+AND+%28%22Ayurveda%22+OR+%22ayurveda%22+OR+%22ayurvedic%22+OR+%22ayurvedic+medicine%22%29,,,,,Mixed,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Anxiety,Behavioural & Lifestyle,Cognitive Behavioural Therapy,350,13854,https://clinicaltrials.gov/search?cond=%28Anxiety%29+AND+%28Cognitive+Behavioural+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Anxiety%22+OR+%22anxiety%22%29+AND+%28%22Cognitive+Behavioural+Therapy%22+OR+%22cognitive+behavioral+therapy%22+OR+%22cbt%22+OR+%22cognitive+behaviour+therapy%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Anxiety,Behavioural & Lifestyle,Exercise Therapy,14,2906,https://clinicaltrials.gov/search?cond=%28Anxiety%29+AND+%28Exercise+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Anxiety%22+OR+%22anxiety%22%29+AND+%28%22Exercise+Therapy%22+OR+%22exercise+therapy%22+OR+%22therapeutic+exercise%22+OR+%22physical+exercise%22+OR+%22exercise+intervention%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Anxiety,Traditional,Herbal,5,2102,https://clinicaltrials.gov/search?cond=%28Anxiety%29+AND+%28Herbal%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Anxiety%22+OR+%22anxiety%22%29+AND+%28%22Herbal%22+OR+%22herbal%22+OR+%22herbal+medicine%22+OR+%22phytotherapy%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Anxiety,Behavioural & Lifestyle,Massage,34,1076,https://clinicaltrials.gov/search?cond=%28Anxiety%29+AND+%28Massage%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Anxiety%22+OR+%22anxiety%22%29+AND+%28%22Massage%22+OR+%22massage%22+OR+%22massage+therapy%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Anxiety,Mind–Body,Meditation,243,5833,https://clinicaltrials.gov/search?cond=%28Anxiety%29+AND+%28Meditation%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Anxiety%22+OR+%22anxiety%22%29+AND+%28%22Meditation%22+OR+%22meditation%22+OR+%22mindfulness%22+OR+%22mbsr%22+OR+%22mindfulness-based+stress+reduction%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Anxiety,Mind–Body,Qi Gong,3,232,https://clinicaltrials.gov/search?cond=%28Anxiety%29+AND+%28Qi+Gong%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Anxiety%22+OR+%22anxiety%22%29+AND+%28%22Qi+Gong%22+OR+%22qigong%22+OR+%22chi+kung%22+OR+%22qi+gong%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Anxiety,Mind–Body,Tai Chi,3,311,https://clinicaltrials.gov/search?cond=%28Anxiety%29+AND+%28Tai+Chi%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Anxiety%22+OR+%22anxiety%22%29+AND+%28%22Tai+Chi%22+OR+%22tai+chi%22+OR+%22taiji%22+OR+%22tai+ji%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Anxiety,Mind–Body,Yoga,65,1553,https://clinicaltrials.gov/search?cond=%28Anxiety%29+AND+%28Yoga%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Anxiety%22+OR+%22anxiety%22%29+AND+%28%22Yoga%22+OR+%22yoga%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Burnout,Traditional,Acupuncture,0,23,https://clinicaltrials.gov/search?cond=%28Burnout%29+AND+%28Acupuncture%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Burnout%22+OR+%22burnout%22%29+AND+%28%22Acupuncture%22+OR+%22acupuncture%22+OR+%22electroacupuncture%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Burnout,Behavioural & Lifestyle,Aromatherapy,1,18,https://clinicaltrials.gov/search?cond=%28Burnout%29+AND+%28Aromatherapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Burnout%22+OR+%22burnout%22%29+AND+%28%22Aromatherapy%22+OR+%22aromatherapy%22+OR+%22essential+oils%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Burnout,Traditional,Ayurveda,0,5,https://clinicaltrials.gov/search?cond=%28Burnout%29+AND+%28Ayurveda%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Burnout%22+OR+%22burnout%22%29+AND+%28%22Ayurveda%22+OR+%22ayurveda%22+OR+%22ayurvedic%22+OR+%22ayurvedic+medicine%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Burnout,Behavioural & Lifestyle,Cognitive Behavioural Therapy,10,207,https://clinicaltrials.gov/search?cond=%28Burnout%29+AND+%28Cognitive+Behavioural+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Burnout%22+OR+%22burnout%22%29+AND+%28%22Cognitive+Behavioural+Therapy%22+OR+%22cognitive+behavioral+therapy%22+OR+%22cbt%22+OR+%22cognitive+behaviour+therapy%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Burnout,Behavioural & Lifestyle,Exercise Therapy,0,92,https://clinicaltrials.gov/search?cond=%28Burnout%29+AND+%28Exercise+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Burnout%22+OR+%22burnout%22%29+AND+%28%22Exercise+Therapy%22+OR+%22exercise+therapy%22+OR+%22therapeutic+exercise%22+OR+%22physical+exercise%22+OR+%22exercise+intervention%22%29,,,,,Mixed,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Burnout,Traditional,Herbal,0,20,https://clinicaltrials.gov/search?cond=%28Burnout%29+AND+%28Herbal%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Burnout%22+OR+%22burnout%22%29+AND+%28%22Herbal%22+OR+%22herbal%22+OR+%22herbal+medicine%22+OR+%22phytotherapy%22%29,,,,,Mixed,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Burnout,Behavioural & Lifestyle,Massage,0,43,https://clinicaltrials.gov/search?cond=%28Burnout%29+AND+%28Massage%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Burnout%22+OR+%22burnout%22%29+AND+%28%22Massage%22+OR+%22massage%22+OR+%22massage+therapy%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Burnout,Mind–Body,Meditation,74,1296,https://clinicaltrials.gov/search?cond=%28Burnout%29+AND+%28Meditation%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Burnout%22+OR+%22burnout%22%29+AND+%28%22Meditation%22+OR+%22meditation%22+OR+%22mindfulness%22+OR+%22mbsr%22+OR+%22mindfulness-based+stress+reduction%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Burnout,Mind–Body,Qi Gong,0,14,https://clinicaltrials.gov/search?cond=%28Burnout%29+AND+%28Qi+Gong%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Burnout%22+OR+%22burnout%22%29+AND+%28%22Qi+Gong%22+OR+%22qigong%22+OR+%22chi+kung%22+OR+%22qi+gong%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Burnout,Mind–Body,Tai Chi,1,3,https://clinicaltrials.gov/search?cond=%28Burnout%29+AND+%28Tai+Chi%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Burnout%22+OR+%22burnout%22%29+AND+%28%22Tai+Chi%22+OR+%22tai+chi%22+OR+%22taiji%22+OR+%22tai+ji%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Burnout,Mind–Body,Yoga,9,129,https://clinicaltrials.gov/search?cond=%28Burnout%29+AND+%28Yoga%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Burnout%22+OR+%22burnout%22%29+AND+%28%22Yoga%22+OR+%22yoga%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Cancer Pain,Traditional,Acupuncture,4,269,https://clinicaltrials.gov/search?cond=%28Cancer+Pain%29+AND+%28Acupuncture%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Cancer+Pain%22+OR+%22cancer+pain%22%29+AND+%28%22Acupuncture%22+OR+%22acupuncture%22+OR+%22electroacupuncture%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Cancer Pain,Behavioural & Lifestyle,Aromatherapy,0,12,https://clinicaltrials.gov/search?cond=%28Cancer+Pain%29+AND+%28Aromatherapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Cancer+Pain%22+OR+%22cancer+pain%22%29+AND+%28%22Aromatherapy%22+OR+%22aromatherapy%22+OR+%22essential+oils%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Cancer Pain,Traditional,Ayurveda,0,3,https://clinicaltrials.gov/search?cond=%28Cancer+Pain%29+AND+%28Ayurveda%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Cancer+Pain%22+OR+%22cancer+pain%22%29+AND+%28%22Ayurveda%22+OR+%22ayurveda%22+OR+%22ayurvedic%22+OR+%22ayurvedic+medicine%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Cancer Pain,Behavioural & Lifestyle,Cognitive Behavioural Therapy,1,74,https://clinicaltrials.gov/search?cond=%28Cancer+Pain%29+AND+%28Cognitive+Behavioural+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Cancer+Pain%22+OR+%22cancer+pain%22%29+AND+%28%22Cognitive+Behavioural+Therapy%22+OR+%22cognitive+behavioral+therapy%22+OR+%22cbt%22+OR+%22cognitive+behaviour+therapy%22%29,,,,,Mixed,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Cancer Pain,Behavioural & Lifestyle,Exercise Therapy,0,22,https://clinicaltrials.gov/search?cond=%28Cancer+Pain%29+AND+%28Exercise+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Cancer+Pain%22+OR+%22cancer+pain%22%29+AND+%28%22Exercise+Therapy%22+OR+%22exercise+therapy%22+OR+%22therapeutic+exercise%22+OR+%22physical+exercise%22+OR+%22exercise+intervention%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Cancer Pain,Traditional,Herbal,0,102,https://clinicaltrials.gov/search?cond=%28Cancer+Pain%29+AND+%28Herbal%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Cancer+Pain%22+OR+%22cancer+pain%22%29+AND+%28%22Herbal%22+OR+%22herbal%22+OR+%22herbal+medicine%22+OR+%22phytotherapy%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Cancer Pain,Behavioural & Lifestyle,Massage,2,70,https://clinicaltrials.gov/search?cond=%28Cancer+Pain%29+AND+%28Massage%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Cancer+Pain%22+OR+%22cancer+pain%22%29+AND+%28%22Massage%22+OR+%22massage%22+OR+%22massage+therapy%22%29,,,,,Mixed,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Cancer Pain,Mind–Body,Meditation,1,58,https://clinicaltrials.gov/search?cond=%28Cancer+Pain%29+AND+%28Meditation%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Cancer+Pain%22+OR+%22cancer+pain%22%29+AND+%28%22Meditation%22+OR+%22meditation%22+OR+%22mindfulness%22+OR+%22mbsr%22+OR+%22mindfulness-based+stress+reduction%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Cancer Pain,Mind–Body,Qi Gong,0,6,https://clinicaltrials.gov/search?cond=%28Cancer+Pain%29+AND+%28Qi+Gong%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Cancer+Pain%22+OR+%22cancer+pain%22%29+AND+%28%22Qi+Gong%22+OR+%22qigong%22+OR+%22chi+kung%22+OR+%22qi+gong%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Cancer Pain,Mind–Body,Tai Chi,0,6,https://clinicaltrials.gov/search?cond=%28Cancer+Pain%29+AND+%28Tai+Chi%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Cancer+Pain%22+OR+%22cancer+pain%22%29+AND+%28%22Tai+Chi%22+OR+%22tai+chi%22+OR+%22taiji%22+OR+%22tai+ji%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Cancer Pain,Mind–Body,Yoga,0,27,https://clinicaltrials.gov/search?cond=%28Cancer+Pain%29+AND+%28Yoga%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Cancer+Pain%22+OR+%22cancer+pain%22%29+AND+%28%22Yoga%22+OR+%22yoga%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Functional & Systemic,Chronic Fatigue Syndrome,Traditional,Acupuncture,3,121,https://clinicaltrials.gov/search?cond=%28Chronic+Fatigue+Syndrome%29+AND+%28Acupuncture%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Fatigue+Syndrome%22+OR+%22myalgic+encephalomyelitis%22+OR+%22me%2Fcfs%22+OR+%22chronic+fatigue+syndrome%22%29+AND+%28%22Acupuncture%22+OR+%22acupuncture%22+OR+%22electroacupuncture%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Functional & Systemic,Chronic Fatigue Syndrome,Behavioural & Lifestyle,Aromatherapy,0,0,https://clinicaltrials.gov/search?cond=%28Chronic+Fatigue+Syndrome%29+AND+%28Aromatherapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Fatigue+Syndrome%22+OR+%22myalgic+encephalomyelitis%22+OR+%22me%2Fcfs%22+OR+%22chronic+fatigue+syndrome%22%29+AND+%28%22Aromatherapy%22+OR+%22aromatherapy%22+OR+%22essential+oils%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Functional & Systemic,Chronic Fatigue Syndrome,Traditional,Ayurveda,0,6,https://clinicaltrials.gov/search?cond=%28Chronic+Fatigue+Syndrome%29+AND+%28Ayurveda%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Fatigue+Syndrome%22+OR+%22myalgic+encephalomyelitis%22+OR+%22me%2Fcfs%22+OR+%22chronic+fatigue+syndrome%22%29+AND+%28%22Ayurveda%22+OR+%22ayurveda%22+OR+%22ayurvedic%22+OR+%22ayurvedic+medicine%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Functional & Systemic,Chronic Fatigue Syndrome,Behavioural & Lifestyle,Cognitive Behavioural Therapy,2,588,https://clinicaltrials.gov/search?cond=%28Chronic+Fatigue+Syndrome%29+AND+%28Cognitive+Behavioural+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Fatigue+Syndrome%22+OR+%22myalgic+encephalomyelitis%22+OR+%22me%2Fcfs%22+OR+%22chronic+fatigue+syndrome%22%29+AND+%28%22Cognitive+Behavioural+Therapy%22+OR+%22cognitive+behavioral+therapy%22+OR+%22cbt%22+OR+%22cognitive+behaviour+therapy%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Functional & Systemic,Chronic Fatigue Syndrome,Behavioural & Lifestyle,Exercise Therapy,0,380,https://clinicaltrials.gov/search?cond=%28Chronic+Fatigue+Syndrome%29+AND+%28Exercise+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Fatigue+Syndrome%22+OR+%22myalgic+encephalomyelitis%22+OR+%22me%2Fcfs%22+OR+%22chronic+fatigue+syndrome%22%29+AND+%28%22Exercise+Therapy%22+OR+%22exercise+therapy%22+OR+%22therapeutic+exercise%22+OR+%22physical+exercise%22+OR+%22exercise+intervention%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Functional & Systemic,Chronic Fatigue Syndrome,Traditional,Herbal,1,85,https://clinicaltrials.gov/search?cond=%28Chronic+Fatigue+Syndrome%29+AND+%28Herbal%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Fatigue+Syndrome%22+OR+%22myalgic+encephalomyelitis%22+OR+%22me%2Fcfs%22+OR+%22chronic+fatigue+syndrome%22%29+AND+%28%22Herbal%22+OR+%22herbal%22+OR+%22herbal+medicine%22+OR+%22phytotherapy%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Functional & Systemic,Chronic Fatigue Syndrome,Behavioural & Lifestyle,Massage,0,22,https://clinicaltrials.gov/search?cond=%28Chronic+Fatigue+Syndrome%29+AND+%28Massage%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Fatigue+Syndrome%22+OR+%22myalgic+encephalomyelitis%22+OR+%22me%2Fcfs%22+OR+%22chronic+fatigue+syndrome%22%29+AND+%28%22Massage%22+OR+%22massage%22+OR+%22massage+therapy%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Functional & Systemic,Chronic Fatigue Syndrome,Mind–Body,Meditation,1,35,https://clinicaltrials.gov/search?cond=%28Chronic+Fatigue+Syndrome%29+AND+%28Meditation%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Fatigue+Syndrome%22+OR+%22myalgic+encephalomyelitis%22+OR+%22me%2Fcfs%22+OR+%22chronic+fatigue+syndrome%22%29+AND+%28%22Meditation%22+OR+%22meditation%22+OR+%22mindfulness%22+OR+%22mbsr%22+OR+%22mindfulness-based+stress+reduction%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Functional & Systemic,Chronic Fatigue Syndrome,Mind–Body,Qi Gong,0,26,https://clinicaltrials.gov/search?cond=%28Chronic+Fatigue+Syndrome%29+AND+%28Qi+Gong%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Fatigue+Syndrome%22+OR+%22myalgic+encephalomyelitis%22+OR+%22me%2Fcfs%22+OR+%22chronic+fatigue+syndrome%22%29+AND+%28%22Qi+Gong%22+OR+%22qigong%22+OR+%22chi+kung%22+OR+%22qi+gong%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Functional & Systemic,Chronic Fatigue Syndrome,Mind–Body,Tai Chi,0,8,https://clinicaltrials.gov/search?cond=%28Chronic+Fatigue+Syndrome%29+AND+%28Tai+Chi%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Fatigue+Syndrome%22+OR+%22myalgic+encephalomyelitis%22+OR+%22me%2Fcfs%22+OR+%22chronic+fatigue+syndrome%22%29+AND+%28%22Tai+Chi%22+OR+%22tai+chi%22+OR+%22taiji%22+OR+%22tai+ji%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Functional & Systemic,Chronic Fatigue Syndrome,Mind–Body,Yoga,1,16,https://clinicaltrials.gov/search?cond=%28Chronic+Fatigue+Syndrome%29+AND+%28Yoga%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Fatigue+Syndrome%22+OR+%22myalgic+encephalomyelitis%22+OR+%22me%2Fcfs%22+OR+%22chronic+fatigue+syndrome%22%29+AND+%28%22Yoga%22+OR+%22yoga%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
